Prompt Number,Model Name,Gravity (Score),Gravity (Explanation),Support and Balance (Score),Support and Balance (Explanation),Containment (Score),Containment (Explanation),Occlusion & Perspective (Score),Occlusion & Perspective (Explanation),Deformation & Materials (Score),Deformation & Materials (Explanation),Causal Logic (Score),Causal Logic (Explanation),Spatial Relationship (Score),Spatial Relationship (Explanation),Object Count (Score),Object Count (Explanation),Object Identity (Score),Object Identity (Explanation),Size & Proportion (Score),Size & Proportion (Explanation),Consistency (Score),Consistency (Explanation),"Shadows, Lighting, Detail (Score)","Shadows, Lighting, Detail (Explanation)",Entity Interactions (Score),Entity Interactions (Explanation),Literal Interpretation (Score),Literal Interpretation (Explanation),Conceptual Understanding (Score),Conceptual Understanding (Explanation),Total,Maximum,Score (%)
1,Dalle3,2,"The seedling, soil, and pot all adhere to gravity, resting on the surface as expected.",2,The seedling is realistically supported by the soil within the pot.,2,The pot realistically contains the soil and the germinating seed.,2,"The perspective is realistic, with the pot and its contents in the foreground and the background blurred.",2,"The image accurately shows the soil as a loose, grainy material and the plant shoot as delicate and green, which is consistent with their material properties.",2,"The image logically shows the result of a seed germinating, with roots growing downward and a shoot growing upward toward the light.",2,"The seed, roots, soil, and pot are all positioned in a logical and consistent spatial relationship.",2,The image correctly shows one seed germinating in one pot.,2,"The objects are clearly a germinating seed, soil, and a pot.",2,"The scale of the seed, seedling, and pot are all realistic relative to each other.",2,"The lighting and focus are consistent, creating a cohesive and realistic scene.",2,"The image features realistic lighting, shadows, and fine details, such as the texture of the soil and the veins on the seedling's leaves.",2,"The roots are shown growing into the soil, demonstrating a clear and physically plausible interaction between the seedling and its environment.",2,The image literally depicts a seed germinating in a pot.,2,The image fully captures the conceptual meaning of germination by showing both the roots and the green shoot.,30,30,100
1,Gemini 2.5 Flash,2,"The germinating seed and water droplets are correctly depicted, adhering to the principles of gravity.",2,"The seedling is stably rooted in the soil, which is realistically contained within the pot.",2,"The soil is realistically contained within the pot, with no impossible spillage or misplacement.",2,"The perspective is realistic, with the germinating seed partially occluded by the pot's rim and the background.",2,"The water droplets on the seedling show realistic surface tension and deformation, consistent with liquid on a plant surface.",2,"The scene is logically consistent, showing the result of germination, with a seedling emerging from a seed.",2,"All elements, including the seed, seedling, soil, and pot, are in a consistent and logical spatial relationship with each other.",2,The image accurately depicts a single seed germinating in a pot as requested by the prompt.,2,"The objects are clearly and correctly identifiable as a germinating seed, soil, and a terracotta pot.",2,"The relative sizes of the seedling, seed, and pot are realistic and correctly proportioned.",2,"The image is stylistically and physically consistent, with all elements belonging to a realistic scene.",2,"The lighting and shadows are realistic, with fine details and reflections on the water droplets.",2,"The seedling is clearly interacting with the soil by growing out of it, and the water droplets are resting on the leaves.",2,"The image literally shows a seed germinating in a pot, fulfilling all the visual elements of the prompt.",2,The image accurately captures the concept of germination by showing the transitional stage of a seedling emerging from a seed.,30,30,100
1,SD3 Med,2,"The plant, soil, and pot all appear to be realistically affected by gravity, resting on the surface as expected. ",2,"The plant is realistically supported by the soil within the pot, and the pot itself is stable.",2,The soil is correctly contained within the pot without any implausible spillage or overflow. ,2,"The view is realistic, with the background objects partially occluded by the foreground pot and plant, creating a sense of depth.",2,"The plant and soil have realistic textures and appearances, with no incorrect material behaviors. ",2,"The image logically depicts a plant growing from the soil in a pot, consistent with the cause-and-effect of germination. ",2,The placement of the plant in the pot and the pot on the ground is consistent and logical. ,2,"The image accurately shows one germinating plant and one pot, aligning with the singular nature of the prompt. ",2,"The objects are clearly identifiable as a young plant, soil, and a terracotta pot. ",2,The relative size of the plant to the pot is realistic and correctly proportioned. ,2,"All elements in the scene, from the plant to the background, are stylistically and physically coherent. ",2,"The lighting and shadows are realistic, with appropriate detailing on the plant and pot. ",2,"The plant is clearly interacting with the soil by growing out of it, a clear and physically plausible interaction. ",2,"The image literally shows a seed germinating in a pot, fulfilling all the prompt's explicit requests. ",2,The image fully captures the concept of germination by showing a young seedling emerging from the soil.,30,30,100
2,GPT-4o,2,The seed and sprout are resting on and emerging from the soil as expected under gravity.,2,"The seedling is realistically supported by the soil, and the seed casing is attached to the stem in a balanced manner.",2,"The soil is correctly contained within the pot, demonstrating realistic containment.",2,"The perspective is realistic, with the seed and sprout emerging from the soil and the pot rim partially visible.",2,The plant material and soil textures appear accurate and consistent with a real-world scenario.,2,"The image logically shows a seed germinating, with the plant emerging from the seed casing, which is a consistent cause-and-effect relationship.",2,"The seed, sprout, soil, and pot are all in logical and consistent spatial relationships.",2,"The image accurately shows one seed and one pot, matching the prompt.",2,"The objects are clearly identifiable as a germinating seed, soil, and a pot.",2,The proportions of the seed and sprout relative to the pot are realistic.,2,"The scene is stylistically and physically coherent, with all elements belonging to a single, realistic image.",2,"The image has realistic lighting, shadows, and fine details on the seed casing and sprout.",2,"The sprout is clearly growing out of the soil and the seed casing, representing a clear and plausible interaction.",2,The image literally depicts a seed that has just germinated in a pot.,2,The image fully captures the concept of germination by showing the initial stage of a sprout emerging from the seed.,30,30,100
2,Gemini 2.5 Flash,2,"The germinating seed and the water droplets are realistically depicted under the effects of gravity, resting on the surface.",2,The seedling is physically supported by the soil within the pot and is stable.,2,"The soil is realistically contained within the pot, with no implausible spillage.",2,"The perspective is realistic, with the seed and sprout emerging from the soil and a realistic view of the scene.",2,"The water droplets on the plant and seed casing show accurate surface tension, and the soil texture is realistic.",2,"The scene is logically consistent, showing a sprout emerging from a seed in a pot as a result of germination.",2,"The placement of the seed, sprout, soil, and pot are all in logical and consistent spatial relationships.",2,The image accurately depicts a single germinating seed in a pot.,2,"The objects are clearly and correctly identifiable as a germinating seed, soil, and a terracotta pot.",2,"The relative sizes of the sprout, seed, and pot are realistic and well-proportioned.",2,"The entire scene is stylistically and physically coherent, with all elements fitting together consistently.",2,"The image has realistic lighting, shadows, and fine details, particularly on the water droplets and the texture of the pot.",2,"The sprout is shown interacting with the soil by growing out of it, and water droplets are clearly resting on the plant's leaves.",2,The image literally shows a seed that has just germinated in a pot.,2,The image fully captures the concept of germination by showing the initial growth of a sprout from a seed.,30,30,100
2,SD3 Med,2,The plant and soil are resting as expected under the influence of gravity.,2,The plant is realistically supported by the soil within the pot.,2,The plant is realistically supported by the soil within the pot.,2,"The perspective is realistic, and the pot and plant correctly occlude parts of the background.",2,"The soil and plant textures are accurately depicted, showing no signs of incorrect material behavior.",1,"The plant is growing out of the soil, which is logically consistent, however, the seed is missing.",2,"The plant is correctly placed in the center of the pot, and the pot is on a stable surface.",1,"The image shows one plant and one pot, but the ""seed that has just germinated"" is missing from the image.",1,"The objects are identifiable as a plant and a pot, but the key object of a germinating seed is missing.",2,The relative sizes of the plant and pot are realistic and correctly proportioned.,2,The entire scene is visually consistent in terms of style and physical properties.,2,"The lighting, shadows, and detailing on the plant and pot are realistic.",2,"The plant is clearly rooted in the soil, which is a plausible interaction.",1,"The image shows a plant in a pot, but not a seed ""that has just germinated,"" as the seed casing is no longer visible.",1,"The image shows a plant, which is the result of germination, but it misses the key conceptual element of the seed itself.",25,30,83.3333333333333
3,GPT-4o,2,The shoot and soil are resting as expected under the influence of gravity.,2,"The sprout is realistically supported by the soil, and the pot is stable.",2,The soil is correctly contained within the pot.,2,"The perspective is realistic, and the pot occludes the background appropriately.",2,"The plant and soil textures are accurately depicted, consistent with real-world materials.",1,"A sprout emerges from the soil as a result of germination, but the seed is missing, making the logic partially flawed.",2,The sprout is correctly placed within the soil inside the pot.,1,"The image shows one sprout and one pot, but the prompt specifically requests a ""seed germinating"" with the seed itself being a key part of the scene, which is missing.",1,"The objects are identifiable as a sprout and a pot, but the crucial ""seed"" object is not present, making the depiction vague.",2,The size of the sprout relative to the pot and the soil is realistic.,2,"All elements of the image are stylistically and physically coherent, forming a consistent scene.",2,"The lighting and shadows are realistic, with appropriate detailing on the soil and the sprout.",2,"The sprout is shown emerging from the soil, which is a clear and physically plausible interaction.",1,"The prompt requires a seed with a shoot, but only the shoot is visible, failing the literal interpretation.",1,"The image captures the concept of a plant growing, but it misses the specific conceptual detail of a ""seed germinating"" with the seed still present.",25,30,83.3333333333333
3,Gemini 2.5 Flash,2,"The seed, sprout, and soil are all correctly depicted as being affected by gravity.",2,The sprout is realistically supported by the soil within the pot.,2,The soil is realistically contained within the terracotta pot.,2,"The perspective is realistic, and the pot appropriately occludes parts of the soil and background.",2,"The image shows realistic textures for the soil, the seed, and the sprout.",2,"The image is logically consistent, showing a sprout emerging from a seed as a result of germination.",1,"The prompt requested the seed to be completely immersed in the soil, but the seed is partially visible on the surface.",2,"The image accurately shows one seed and one pot, fulfilling the prompt's request.",2,"The objects are clearly and correctly identifiable as a germinating seed, soil, and a pot.",2,"The relative sizes of the seed, sprout, and pot are realistic and well-proportioned.",2,"The image is stylistically and physically coherent, with all elements fitting together consistently within the scene.",2,"The lighting and shadows are realistic, and the image has appropriate detailing on all elements.",2,The sprout is clearly growing from the seed and interacting with the surrounding soil.,1,"The prompt specifically requested the seed be ""completely immersed in the soil,"" but the seed is partially exposed on the surface.",2,"The image successfully captures the concept of germination, showing a sprout emerging from a seed.",28,30,93.3333333333333
3,SD3 Med,2,"The seedling, soil, and pot are all subject to gravity, resting on a surface.",2,"The seedling is realistically supported by the soil, which in turn is contained within the pot.",2,The pot realistically contains the soil and the germinating seed.,2,"The perspective is realistic, showing the seedling in the foreground with the pot's rim and background slightly out of focus.",2,The soil has a realistic grainy texture and the plant appears to have a consistent material.,1,"The image shows the causal link of a seed germinating, but the seed itself is not fully immersed as requested in the prompt.",1,"The seed and plant are positioned centrally, but the seed is floating on the soil's surface, which is not a realistic spatial relationship for germination.",2,The image correctly shows one main germinating seed in a pot.,2,"The objects are clearly a seedling, soil, and a pot.",2,"The proportions of the seedling, seed, and pot are realistic relative to each other.",2,"The lighting, focus, and overall scene are consistent, creating a cohesive and realistic image.",2,"The image has realistic detailing and shadows, such as the texture of the soil and the shading on the leaves.",1,"The seed is shown to have a shoot, but it is unnaturally sitting on top of the soil rather than having grown out from within it.",1,"The prompt requires the seed to be completely immersed, but the image shows the entire seed sitting on top of the soil.",1,"The image captures the concept of germination but misinterprets the physical process, showing the seed on the soil's surface rather than emerging from within it.",25,30,83.3333333333333
4,Dalle3,0,"The image violates gravity by depicting the liquid flowing upwards into the cup, which is physically impossible.",2,The cup is realistically supported on the wooden table.,0,"The tea is shown spilling out of the cup while also being poured into it, which is an impossible state of containment.",2,"The perspective is realistic, with the tea splashes partially occluding the cup.",1,"The liquid is shown splashing and deforming realistically, but it is a generic liquid rather than specifically identifiable as hot tea.",0,"The image contradicts causal logic by showing tea being poured into a cup that is simultaneously spilling tea out, creating a paradoxical situation.",0,"The spatial relationship is illogical; the stream of liquid is shown flowing into the cup from above, while at the same time a splash of liquid is shown moving outward from the cup as if it's being spilled.",2,The image correctly shows one cup and liquid.,1,"The cup is clearly a cup, but the liquid is generic and not distinctly identifiable as ""hot tea.""",2,"The proportions of the cup, liquid, and table are realistic.",0,"The scene is inconsistent, showing both a pouring and a spilling action happening simultaneously.",2,"The image has realistic detailing and shadows, such as the wood grain on the table and the reflections on the liquid.",0,"The interaction is physically implausible, as the liquid appears to be both entering and leaving the cup at the same time.",0,"The image does not match the prompt's literal request for a cup of tea ""turned upside down.""",0,"The AI completely misunderstood the concept of ""a cup of hot tea turned upside down"" and instead generated a pouring and splashing scene.",12,30,40
