Prompt Number,Model Name,Gravity (Score),Gravity (Explanation),Support and Balance (Score),Support and Balance (Explanation),Containment (Score),Containment (Explanation),Occlusion & Perspective (Score),Occlusion & Perspective (Explanation),Deformation & Materials (Score),Deformation & Materials (Explanation),Causal Logic (Score),Causal Logic (Explanation),Spatial Relationship (Score),Spatial Relationship (Explanation),Object Count (Score),Object Count (Explanation),Object Identity (Score),Object Identity (Explanation),Size & Proportion (Score),Size & Proportion (Explanation),Consistency (Score),Consistency (Explanation),"Shadows, Lighting, Detail (Score)","Shadows, Lighting, Detail (Explanation)",Entity Interactions (Score),Entity Interactions (Explanation),Literal Interpretation (Score),Literal Interpretation (Explanation),Conceptual Understanding (Score),Conceptual Understanding (Explanation),Total,Maximum,Score (%)
1,Dalle3,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,2,,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,2,,2,Realistic shadow and lighting,2,,2,,1,Seed on top of mud; Multiple small roots,29,30,96.6666666666667
1,Gemini 2.5 Flash,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,2,,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,1,Unrealistic water droplets; posture of the sprout,2,Realistic shadow and lighting,2,,2,,2,,29,30,96.6666666666667
1,SD3 Med,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",1,Texture of mud around the pot doesn’t look right,2,Seed in soil and then germination is shown,2,,2,Only one seed,1,Plant no longer in early growth,2,Subject proportionate to the surroundings,2,,2,Realistic shadow and lighting,2,,0,No seed,0,Not a seed germinating but a growing plant,24,30,80
2,GPT-4o,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,1,Seed not connected to main stem or root,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,2,,2,Realistic shadow and lighting,2,,2,,2,,29,30,96.6666666666667
2,Gemini 2.5 Flash,2,All plant parts connected and follow gravity,1,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,2,,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,1,,1,Slightly Realistic lighting,2,,2,,2,,27,30,90
2,SD3 Med,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,1,,2,Only one seed,1,Plant-like no longer in early growth,2,Subject proportionate to the surroundings,1,Unrealistic,1,Slightly Realistic lighting,2,,0,No seed,0,Not a seed germinating but a growing plant,22,30,73.3333333333333
3,GPT-4o,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,2,,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,2,,2,Realistic shadow and lighting,2,,2,,2,,30,30,100
3,Gemini 2.5 Flash,2,All plant parts connected and follow gravity,2,All plant parts connected and follow gravity,2,All mud and plant contained in the pot correctly,2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,2,Seed in soil and then germination is shown,1,Seed to be inside the soil,2,Only one seed,2,Plant + Seed + Mud + Pot realistic,2,Subject proportionate to the surroundings,2,,2,Realistic shadow and lighting,2,,2,,1,Seed completely immersed in soil x,28,30,93.3333333333333
3,SD3 Med,1,Some leaves are floating,1,Leaves are floating with no support,2,Pot contains the soil and the seed (no overflowing),2,"Able to show depth, perspective",2,Texture of mud in the pot and plant looks right,1,Seed in soil x,1,Seed to be inside the soil,2,Only one seed,0,Plant-like no longer in early growth; Seed still intact and hard-shelled; No roots visible; All leaves are not similar (veins),2,Subject proportionate to the surroundings,0,Some leaves are not connected to stem; Stem becomes leaf at the end; Leaves sprouting from leaves; Seed floating on top of soil,2,Realistic shadow and lighting,1,Seed small opening to let out a stem; Stem becomes leaf; Leaves out of leaf; Seed floating;,0,Seed floating not immersed; Plant-like and not a small shoot; ,0,Seed completely immersed in soil x; Small shoot x,17,30,56.6666666666667
4,Dalle3,0,Tea flowing from up into the cup; Tea going up around the cup; Tea not flowing down between the gaps in table,0,Cup is floating on top of the table,0,Tea flowing from up into the cup; Tea going up around the cup; Tea not flowing down between the gaps in table; No spilling shown to see where the tea below is from,1,"Depth not rendered accurately in the cup; Due to the blur, can’t understand what the small round element on the table is",1,Tea to flow down through the gaps in the table; Shows steam and color for hot tea,0,Cup of tea upside down is not rendered correctly- no spillage; Tea from above and spillage can’t be linked to the expected motion of the cup,0,Tea from above and spillage can’t be linked to the cup,1,One cup + Liquid but no steam,2,Cup and liquid properties like color etc. is shown,2,Subject proportionate to the surroundings,0,Unrealistic flow and spillage,0,No shadow and unrealistic reflection of liquid on wooden table,0,Interaction between the liquid and cup where spillage around is not from cup and liquid is flowing into cup but still causing spillage but only on the rims,0,No “upside-down” cup,0,“Upside-down” cup holding some liquid should have the liquid flowing out from the cup,7,30,23.3333333333333
